data,title_x,title_y,title,value,tag,,,,
"সৌদি ১০০ বিলিয়ন মার্কিন ডলার বিনিয়োগের প্রায় পুরোটাই জ্বালানি খাতে, মুকেশ আম্বানির কপালে ভাঁজ!",-1,0,2,1,কিছুটা ইতিবাচক,,,,
"দাদা মনেহয় ১৯ তাং এটা লিখেছিলেন  নাম প্রকাশে অনিচ্ছুকএকদম ঠিক আছে।এমবিএস এর টাকায় রক্তের দাগ, আর টাকা ব্যবহারও করা হবে রক্তপাতের কাজে,আমরা আমরাই তো",0,-1,-1,-1,কিছুটা নেতিবাচক,,,,
রতনে রতন চেনে,-1,-2,-2,-5,নিশ্চিত নেতিবাচক,,,,
"পাকিস্তানের না হয় খাবার টাকা নেই, ভারতের কি কারণে সৌদি ভিক্ষার দরকার পড়ল?",1,-1,-1,-1,কিছুটা নেতিবাচক,,,,
আমরা নিজের পায়ে দাডাবো। হাত পাতব কেন?,-2,-1,-2,-5,নিশ্চিত নেতিবাচক,,,,
"আপনি মনে হয় ইচ্ছামূর্খ নাইলে ২০৫০ সালে ভারতের অর্থনীতি আমেরিকাকে ছাড়িয়ে যাবার কমেণ্ট করার পরও দক্ষিণ কোরিয়া, সিঙ্গাপুর, মালয়েশিয়া সাথে তুলনা করেন কিভাবে? একই সময় পাকিস্তান স্বাধীনতা পেয়েও কেন ভারত দুরে থাক আজ বাংলাদেশের চেয়েও বহু পিছে পড়ে আছে",2,-1,2,3,নিশ্চিত ইতিবাচক,,,,
এই খবর এ আমাগো কি?,-1,0,-2,-3,নিশ্চিত নেতিবাচক,,,,
তাহলে নাচানাচি শুরু করে দিন!,-2,-1,0,-3,নিশ্চিত নেতিবাচক,,,,
জনসংখ্যা আর আয়তনের হিসাবে পাকিস্তানই বেশী পেয়েছে।,-1,-2,-1,-1,কিছুটা নেতিবাচক,,,,
"ভারতে সৌদি বিনিয়োগ হলে, সরাসরি না হলেও, আমাদের অর্থনীতিতে এর ভাল প্রভাব পড়তে পারে।",-1,-2,0,-3,নিশ্চিত নেতিবাচক,,,,
এটি আমাদের ব্যর্থতা।,0,2,0,0,নিরপেক্ষ,,,,
"কেউ পায় ২ হাজার কোটি ডলার, কেউ পায় ১০ হাজার কোটি ডলার আমার কতটা ব্যর্থ কিছুই পেলাম না।",-2,1,-2,-3,নিশ্চিত নেতিবাচক,,,,
গরীব দেশ ভারতের উচিত লম্প-জম্প বাদ দিয়ে সেনিটেশন ব্যবস্থার উন্নয়ন করা।,-2,-1,-2,-5,নিশ্চিত নেতিবাচক,,,,
যান ভারতে চলে যান,0,-2,-1,-3,নিশ্চিত নেতিবাচক,,,,
ভারতের ক্ষুধা ৫ গুন বেশী।,-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
"সৌদি অ্যারামকোর প্রধান নির্বাহী কর্মকর্তা আমিন নাসের ভারতের সম্ভাবনার প্রসঙ্গে বলেন, ২০৫০ সালের মধ্যে ভারত বিশ্বের দ্বিতীয় বৃহত্তম অর্থনীতি হতে যাচ্ছে। তখন তারা মার্কিন যুক্তরাষ্ট্রকেও ছাড়িয়ে যাবে। ২০৫০ সালের মধ্যে বিশ্বের মোট দেশজ উৎপাদনের ১৫ শতাংশই ভারতে উৎপাদিত হবে। আচ্ছা তখন পাকিস্তানের অবস্থা কি হবে কেউ কি বলতে পারবেন? নাকি নিউক্লয়ার বোমার অধিকারী' বলে বলে তখনো তৃপ্তির ঢেঁকুর তুলে তুলে ভারতের পায়ে কামড়ানোর নতুন কোন ছক খুঁজতে থাকবে",-2,-1,-2,-5,নিশ্চিত নেতিবাচক,,,,
এজন্যই পাকিস্তানের ৫ গুন ভিক্ষা দরকার,-1,-1,0,-1,কিছুটা নেতিবাচক,,,,
"ভাই সালটা হবে ২০৫০ ।  এর মধ্যে অনেকগুলি ফ্যাকটার রয়েছে  ।  ১ ।  ২০৫০ সালে ইন্ডিয়াতে বিপুল পরিমানে মেজরিটি জনসংখ্যা ইয়াং জেনারেশান থাকবে উল্টোদিকে আমেরিকার মেজরিটি জনসংখ্যা হবে বৃদ্ধ ।  ২ ।  ২০৫০ সালে টেকনলোজি ,  ইন্টার্নেট ইউসার সমস্ত দিক থেকে দুনিয়ার সমস্ত দেশের থেকে যোজন যোজন এগিয়ে থাকবে ইন্ডিয়া । ৩ ।  সর্বাধিক শিক্ষিত ইয়াং জেনারেশান ইন্ডিয়াতে থাকবে ফলে দুনিয়ার সব থেকে বড় মার্কেট ইন্ডিয়া হবে সেই সময় । ৪ ।   পারচেস পাওয়ার , মাথা পিছু ইনকাম প্রতিটা দিক থেকেই ইন্ডিয়া তখন দুনিয়া রুল করবে ।",-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
মুখে বলেছে কিন্তু ভারতে চুক্তি স্বাক্ষরিত হয়েছে মাত্র ১ বিলিয়ন ডলার যেখানে পাকিস্তান পেয়েছে ২০ বিলিয়ন ডলার।,0,-1,2,1,কিছুটা ইতিবাচক,,,,
"একটা ভাল খবর এবং, একটা ভাল উদাহরণ, কি ভাবে সঠিক সরকারি নীতির সাহায্যে দেশী বিনিয়োগিরা একটা শিল্পকে এগিয়ে নিতে পারেন। অবশ্য একদিন দেশীয় শিল্পটিকেবিদেশী প্রতিয়গিতা, সরকারি সাহায্য ছাড়াও, মোকাবেলা করার ক্ষমতা অর্জন করতে হবে।",0,0,0,0,নিরপেক্ষ,,,,
তাহলে তো রডের দাম আরো কমবে।,-1,-1,2,-1,কিছুটা নেতিবাচক,,,,
এ সরকার এই প্রস্তাব কখনোই মানবে না। আমাদের সঞ্চয় বলে আর কিছুই নাই।,1,0,2,3,নিশ্চিত ইতিবাচক,,,,
"তিনি বলেন, ‘যাঁরা এই ব্যাংকটি প্রতিষ্ঠিত করেছিলেন, সেই উদ্যোক্তা পরিচালকেরাই লুটপাট করে ব্যাংকটি শেষ করে দিয়েছেন। তবে বাংলাদেশে কোনো ব্যাংকের পতন হয় না। হতে দেওয়া হয় না। ফারমার্স ব্যাংক বন্ধ হওয়ার কোনো শঙ্কা নেই।’ লুটপাট করে কে কোন দেশে টাকা পাচার করেছে সেটি তদন্ত করে বের করা জরুরি।",-1,-2,-1,-1,কিছুটা নেতিবাচক,,,,
উদ্যোক্তা পরিচালকেরা সবাই শাসক দলের সাথে সম্পর্কযুক্ত তাই তাদের লুটপাট অব্যাহত রাখার ব্যবস্থা করা হয়েছে,-1,0,-1,-1,কিছুটা নেতিবাচক,,,,
২০২৪-এর মধ্যে চেহারা পাল্টে এমন অবস্থা হবে যে,-1,0,-2,-3,নিশ্চিত নেতিবাচক,,,,
হ পাবলিকের রক্ত পানি করা টাকা তো আছেই। সমস্যা কি?!,0,-1,0,0,নিরপেক্ষ,,,,
"ফারমারস ব্যাংক যখন প্রতিষ্ঠা হয়, তখনি অনেকে এ লুটপাটের আশংকা করেছিলেন। আপনি মাননীয় অর্থমন্ত্রী তখন এর পক্ষে অবস্থান নিয়েছিলেন। এখন আপনারও দায় নেয়ার সময় এসেছে।",-2,-1,-2,-5,নিশ্চিত নেতিবাচক,,,,
"যারা লুট-পাট করেছে তাদেরকে তিনি  চিনেন এবং ভালো করে চিনেন কিন্তু কেনো কোনো ব্যবস্থা নিচ্ছেন না বা নিতে পারছেন না, তা বলেননি। ফার্মাস ব্যাংক তারপরও চলবে, উনি কী এখানেও জনগণের টাকা থেকে জোগান দিয়ে চালু রাখবেন? এর পরও বলবেন ওনাদের অর্থব্যবস্থাপনা স্বচ্ছ, ওনরা জবাবদিহিতায় আছেন?",1,-1,-2,-2,নিশ্চিত নেতিবাচক,,,,
আমি চাইতে সমস্যা কি দাম চাইলাম যা দ্যান,-1,0,-1,-1,কিছুটা নেতিবাচক,,,,
আপনার পকেট থেকে দিচ্ছেন মনে হয়। সরকারি টাকায় চলেন মনে হচ্ছে,-1,0,0,0,নিরপেক্ষ,,,,
৫ হাজার ৩০০ টাকাকে শতভাগ বৃদ্ধ্বি করলে ১০ হাজার ৫০০ টাকা হয়।  ১৬ হাজার টাকা চাওয়া বাড়াবাড়ি।,-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
অযথা হিংসাবশত কাতারের মত আরেক মুসলিম দেশটাকে খাল কেটে দ্বিখন্ডিত করে দিল  এই মুখুটহিন যোগ্যতাহীন  সেলমানই,-1,0,0,0,নিরপেক্ষ,,,,
ক্ষমতা লোভী যুবরাজ মোহাম্মদ বিন সালমানের পরিণতি হবে ওসামা বিন লাদেনের মত। মাঝখান থেকে সৌদি আরব কে মুসলিম বিশ্বের কাছে ভুলভাবে উপস্থাপন করা হল।,-2,1,0,-1,কিছুটা নেতিবাচক,,,,
তেল তেল আর তেল অন্যাথায় বালি  যা এক টাকায় আপনি এক টন ও নিবেন না কারণ কিভাবে নিয়ে যাবেন? আরও খরছ আছে না?ঠিক তেল ছাড়া সৌদিরা এরকম মূল্যহিন,-2,-1,-2,-5,নিশ্চিত নেতিবাচক,,,,
সালমান এর বিচার দাবি করছি সে ইসলাম  এর দুস্মন,-2,0,-2,-4,নিশ্চিত নেতিবাচক,,,,
যুবরাজ সালমানের জন্য এটা সংকটময় পরিস্থিতি ।,0,0,2,0,নিরপেক্ষ,,,,
যুবরাজ এখনো ছোকড়া। ছোকড়ারা ভালো কিছু করার সিদ্ধান্ত নিতে পারলেও তা করতে গিয়ে তালগোল পাকিয়ে ফেলে। সালমানের হয়েছে সেই দশা।,-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
কি নাটক যে চলিতেছে আল্লাহ মালুম।,-2,1,-2,-3,নিশ্চিত নেতিবাচক,,,,
এই অনেক বাড়াবাড়ি করতেছে।  তার উচিত শিক্ষা দরকার ছিল ।,-2,1,0,-1,কিছুটা নেতিবাচক,,,,
সৌদি আমিরাত জোট মধ্যপ্রাচ্যের নব্য অস্থিরতার জন্য দায়ী।,-1,0,-1,-1,কিছুটা নেতিবাচক,,,,
ক্ষমতার লোভ যাদের মধ্যে বেশি তারা সমালোচনা সহ্য করতে পারে না। স্বৈরসাশক হয়ে যায়। আর তখন ই তারা একের পর এক ভুল করতে থাকে। তাদের ওই ভুল থেকেই পতন হয়।,0,-1,-2,-3,নিশ্চিত নেতিবাচক,,,,
এদের খরচ কি সরকার যোগায়?  আমার তো মনে হয় এরা সরকারী খরচেই চলে।,1,-1,0,0,নিরপেক্ষ,,,,
"জনগনের সরকার জনবান্ধব বাজেট দিবে এটাই স্বাভাবিক, কারন জনগন কাজ ও উন্নয়ন দেখে ভোট দিবে।",-1,0,-2,-3,নিশ্চিত নেতিবাচক,,,,
"সামনে নির্বাচন, তাই প্রথমদিকে অতিরিক্ত খরচ করার প্রবণতা দেখা দেবে। বড় প্রকল্পগুলো দৃশ্যমান করার চেষ্টা থাকবে। এ জন্য অর্থের অপচয় হচ্ছে কিনা, সে ক্ষেত্রে নজরদারি বাড়ানো প্রয়োজন।",1,-1,2,2,নিশ্চিত ইতিবাচক,,,,
ভোটটা দেবার সুযোগ দিবেন তো নাকি দুপুর একটায় বলবেন ভোট শেষ বাড়ি যান ?,1,0,-1,0,নিরপেক্ষ,,,,
"বাজেট নিয়ে নানা বিশেষজ্ঞ নানা ধরনের কথাবার্তা বলে চলেছেন। আমরা যারা অর্থনীতির কেতাবী তত্ত্ব বুঝি না, সবার কথাই শুনি, শুনে বিভ্রান্তির জালে আটকে যাই।",-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
"আমাদের দেশ সামনের দিকে অগ্রসর হচ্ছে, অনেকের হয়তো এটা মেনে নিতে কষ্ট হচ্ছে রাজনৈতিক মতবিরোধ ভিন্ন কথা, তার আগে নিজের দেশ, নিজের জন্মভুমি। নিজের দেশের সুনাম সবার ভাল লাগার কথা, সেটা খেলাই হোক কিংবা অর্থনীতিতে। এখন যদি মাশরাফি বিশ্বকাপে ভাল করল কিন্তু সে আওয়ামীলীগ এমপি বলে তার প্রশংসার পরিবর্তে তার বদনাম করে গেলাম, সেটা কি সুন্দর মানষিকতার পরিচয় হবে??? সমালোচনা করতে হবে যেটা খারাপ সেটার আর যেটা ভাল সেটার প্রশংসা করতে হবে, এটা মানুষের চিন্তা-চেতনার উপর নির্ভর করে----",0,-2,-1,-3,নিশ্চিত নেতিবাচক,,,,
"দেশ যে এগিয়ে যাচ্ছে তা বুঝার জন্যে কোনো দেশের কোনো পত্রিকার প্রতিবেদনের প্রয়োজন নেই। সাধারণ চোখেই তা দৃশ্যমান, যদি না কেউ নৈরাশ্যবাদী হয়। দেশ এগোচ্ছে, এগোবে। আর চাই যে দেশের এই অগ্রযাত্রা শেখ হাসিনার মতো বিশ্বস্ত কারও হাত ধরেই হোক।",2,-1,1,2,নিশ্চিত ইতিবাচক,,,,
"ক্রেডিটগুলো দিন আর ব্যাংক লুট, শেয়ারবাজার লুট , গুম খুন  এগুলো ক্ষমা করে দিন।",2,1,2,5,নিশ্চিত ইতিবাচক,,,,
"বাংলাদেশের সাধারণ মানুষই বাংলাদেশের ভাগ্য বদলেছে। এই বদলের পালা শুরু হয় ৯০এর পর থেকেই, কিন্তু দৃশ্যমান হতে শুরু করে গত এক দশক ধরে।",-1,-2,-2,-5,নিশ্চিত নেতিবাচক,,,,
"আর সেই লোক টার নাম গোপাল বোষ, বোস নয় কিন্তু",1,1,2,4,নিশ্চিত ইতিবাচক,,,,
"শেখ হাসিনার বিকল্প বাংলাদেশে আর কেউ নেই। শক্ত হাতে দুর্নীতি, সন্ত্রাস আর মাদককে নির্মূল করতে পারলে দেশ আরো এগিয়ে যাবে।",0,0,0,0,নিরপেক্ষ,,,,
বারবার দরকার শেখ হাসিনা সরকার।,1,-1,2,2,নিশ্চিত ইতিবাচক,,,,
"উল্টোটাই বেশি সত্যি। উন্নয়ন ছাড়া গণতন্ত্র টেকে না। উন্নয়ন না হলে অভাব বাড়ে। আর অভাবে স্বভাব নষ্ট হয়। শাড়ি লুঙ্গি পেলেই ভোট বদলে যায়। শাড়ি-লুঙ্গির গণতন্ত্র নিশ্চয়ই কেউ চায় না, তাই না?",1,2,0,3,নিশ্চিত ইতিবাচক,,,,
আর এটাও বোঝা গেল যে গোপাল বোসকে কে পিটিয়েছে,1,1,-2,0,নিরপেক্ষ,,,,
"যতদিন তোমার হাতে দেশ,  পথ হারাবেনা বাংলাদেশ",-1,1,0,0,নিরপেক্ষ,,,,
২০০৯ সালের পর মাথাপিছু আয় তিন গুণ হয়েছে। ক্ষুধা জয় করে বাংলাদেশ এখন সাড়ে ১৬ কোটি মানুষের জন্য খাদ্য উৎপাদনে প্রায় স্বয়ংসম্পূর্ণ।বঙ্গবন্ধুর সোনার বাংলা হতে আর কিছু সময়ের দরকার মাত্র।,2,-1,2,3,নিশ্চিত ইতিবাচক,,,,
এভাবেই এগিয়ে যাক আমার প্রিয় জন্মভুমি বাংলাদেশ শেখ হাসিনার নেতৃত্বে ।,2,-1,2,3,নিশ্চিত ইতিবাচক,,,,
"হিউম্যান রাইট ওয়াচ, নিউইয়র্ক টাইমস যখন অযথা বাংলাদেশ সরকারের সমালোচনা করে তখন তখন তো খুসিতে লাফালাফি করেন, তখন এই উক্তি মনে পড়ে না?",2,0,2,4,নিশ্চিত ইতিবাচক,,,,
"শেখ হাসিনার হাতে দেশের নেতৃত্ব থাকলে, পথ হারবে না বাংলাদেশে। বাংলার জনগনও চায় শেখ হাসিনাই আগামির বাংলাদেশের নেতৃত্ব দিক। তাই এবার নির্বাচনে হবে নৌকায় ভোট। জয়তু শেখ হাসিনা।",0,-1,-2,-3,নিশ্চিত নেতিবাচক,,,,
"চীনে গণতন্ত্র নেই কত দশক হয়ে যাচ্ছে জানেন? চীনের উন্নতি তবে কোনো উন্নতিই নয়, নাকি?",1,2,2,5,নিশ্চিত ইতিবাচক,,,,
"অনেকে যখন বেইজিং থেকে এত বেশি বিনিয়োগ আসা নিয়ে প্রশ্ন তুলছেন, তখন শেখ হাসিনা বলেন, চীন এই অঞ্চলে একটি বড় ভূমিকা পালন করতে চায়। এটা এর বেশি কিছু নয়। প্রধানমন্ত্রী বলেন, ‘আমাদের বিদেশনীতি একেবারেই পরিষ্কার, সবার সঙ্গে বন্ধুত্ব। যুক্তরাষ্ট্র ও চীন কী করছে, সেটা তাদের বিষয়।’",-1,1,0,0,নিরপেক্ষ,,,,
এই রকম গণতন্ত্র! যে রকম গণতন্ত্র আমরা ভোগ করছি!,1,1,0,2,নিশ্চিত ইতিবাচক,,,,
"বাংলাদেশের মাথাপিছু ঋণ অথবা জিডিপি অনুপাতে ঋণের পরিমাণ উভয়ই পার্শ্ববর্তী যে কোনো দেশের থেকে কম। জিডিপির অনুপাতে বাংলাদেশের ঋণের পরিমাণ মাত্র ২৭ শতাংশ, যেখানে অনেক দেশেরই এ হার ৬০ শতাংশ থেকে ২০০ শতাংশ পর্যন্ত।",-2,-1,0,-3,নিশ্চিত নেতিবাচক,,,,
বাংলাদেশ এখন একটি সফলতার গল্প আর শেখ হাসিনা সে সফলতার রূপকার ও রিদম । জয়তু শেখ হাসিনা ।,0,-1,-1,-1,কিছুটা নেতিবাচক,,,,
একমাত্র বিএনপি জামায়াতরাই দেশের উন্নয়ন চোক্ষ দেখে না পাকিস্তানের ইমরান খান সহ বলছে বাংলাদেশ এগিয়ে গেছে অনেক,1,-1,2,2,নিশ্চিত ইতিবাচক,,,,
বাংলাদেশ কত টাকা লোণে আছে? প্রতিটি মানুষের মাথাপিছু লোণ কত তা কি আমাদের জানার উপায় আছে? কত টাকা পাচার হয়েছে দেশ থেকে সেটাও উল্লেখ থাকলে ভালো হত।,2,0,-2,0,নিরপেক্ষ,,,,
দাদারা বিদেশী নয়! বাংলাদেশী?,0,-1,-2,-3,নিশ্চিত নেতিবাচক,,,,
বিগত ৩০ বছরে লুটপাট কম হলে এতোদিনে মধ্যম আয়ের দেশ হয়ে যেতো।,-1,1,-1,-1,কিছুটা নেতিবাচক,,,,
কি হিংসে হয়?,1,-1,-1,-1,কিছুটা নেতিবাচক,,,,
"আলোর নিচে অন্ধকার, গনতন্ত্রহীন উন্নয়ন কখনও টেকসই হয় না।",-2,1,0,-1,কিছুটা নেতিবাচক,,,,
"কেন যে এই ধরনের আশাবাদি পোস্ট দেন, অনেকের তো গাত্রদাহ হয়। খালি অরাজকতা, নৈরাজ্য আর অভিযোগওয়ালা পোস্ট দিবেন তাহলেই ওনারা ভাববেন প্রথম আলো নিরেপক্ষ, নচেৎ নয়।",-2,-1,-2,-5,নিশ্চিত নেতিবাচক,,,,
শিরোনামটা দেখেই মনটা গর্বে ভরে উঠল। আবার কারো বুকে ব্যথা শুরু হয়ে গেছে নিশ্চয়।,1,-1,0,0,নিরপেক্ষ,,,,
"সর্বরোগের এক ডায়লগ! বিদেশীদের স্বার্থ তো আছেই। তাঁদের বিনিয়োগের জায়গা দরকার। নিক্কি পত্রিকাটি বাণিজ্য ও অর্থনীতি নিয়ে নিউজ করে। বাংলাদেশ উন্নত হলে জাপানি বিনিয়োগকারীদের প্রচুর লাভ, কারন চীন থেকে তারা তাঁদের বিনিয়োগ সরিয়ে এ অঞ্চলে আসবে। আর শের-এ-বাংলা'র উক্তিটিও আপনি বিকৃত করেছেন। তিনি বিদেশী বলেন নি, দাদা বলেছিলেন। তর্কটি ছিল কোলকাতার হিন্দু এলিট বনাম বাঙলার কৃষক প্রজা। পারেনও আপনি, হে মহান দলদাস!",2,-1,0,1,কিছুটা ইতিবাচক,,,,
উন্নয়ন্তত অবশ্যই হয়েছে। কিন্তু লুট পাট আর নিপীড়ন হয়েছে অনেক বেশী। কারন জবাব দিহিতা নেই বলে। জবাব দিহিতা কেন নেই গনতন্ত্র নেই বলে । তাই উন্নয়ন চাইলে গণতন্ত্র মাস্ট। গনতন্ত্র না থাকলে সে উন্নয়ন সে লুটেরাদের । বিশাল জনগোষ্ঠী থাকে বঞ্চিত এবং বৈষম্যের শিকার। তাই আগে গনতন্ত্র এর পর উন্নয়ন হবে এর চে দ্রুত    সমন্বিত  এবং কয়েক গুন বেশী।,0,-1,0,0,নিরপেক্ষ,,,,
শেরেবাংলা এ. কে ফজলুল হক এই উক্তিতে বিদেশী কথাটা বলেন নি। তিনি বলেছেন “দাদারা”। জানি খুব জ্বলে!,-2,2,-2,-2,নিশ্চিত নেতিবাচক,,,,
টাকা পয়সার কোন চালাচালি সম্ভবত হয়নি এখানে।,1,-1,0,0,নিরপেক্ষ,,,,
নিক্কেই এশিয়ান রিভিউবাংলাদেশের উত্থানের পেছনে শেখ হাসিনা,1,0,0,0,নিরপেক্ষ,,,,
"উন্নত বাংলাদেশের জন্য শেখ হাসিনার কোন বিকল্প নেই, আওয়ামী লীগ যদি শেখ হাসিনার নেতৃত্বে দেশ শাসন না করতো,তাহলে এ দেশ তলাবিহীন ঝুড়িতে পরিণত হত।",2,0,2,4,নিশ্চিত ইতিবাচক,,,,
এ টাকা আসবে কোথা থেকে?,1,0,2,3,নিশ্চিত ইতিবাচক,,,,
এই প্রজ্ঞাপন অনুযায়ী কেউ কি নতুনভাবে পেনশন পেয়েছে? নাকি শুধু  প্রজ্ঞাপন পর্যন্তই সীমাবদ্ধ সবকিছু?,-1,0,-1,-1,কিছুটা নেতিবাচক,,,,
"যারা শতভাগ পেনসন না তুলে মাসিক পেনসন রেখেছেন,তারা শতভাগ পেনসন তুললে যে টাকা পেতেন তা তাদের দেয়া হোক।নয়তো এটা হবে চরম বৈষম্যমূলক! যেমন যে পেনসনের টাকা দিয়ে একটা ফ্ল্যাট বা জমি কিনেছিলেন, তার দাম এখন ৫গুন বেড়েছে, আবার সে এখন পেনসনও পাবেনঅধিকাংশ আমলা শতভাগ পেনসন তুলেছেন,তাদের সুবিধার্থেই  এই তুঘলকি আদেশ জারি করা হয়েছে",-1,-2,0,-3,নিশ্চিত নেতিবাচক,,,,
সবই ভোট নেওয়ার পায়তারা,0,0,-2,0,নিরপেক্ষ,,,,
এই আদেশ সরকারী কমর্চারী (অবসর) আইনের পরিপন্থি! কেউ আদালতে গেলে এটা নির্ঘাত বাতিল হবে।পেনসন প্রত্যাখ্যানকারীদের পুনরায় পেনসন না দিয়ে  সব পেনসনারের  চিকিৎসা ভাতা বাড়ানো হোক।,-1,-2,-2,-5,নিশ্চিত নেতিবাচক,,,,
